RegionName,Date,Predicted_Value
"New York, NY",2025-03-31,3302.529322267958
"New York, NY",2025-04-30,3322.13249688663
"New York, NY",2025-05-31,3345.7912885810424
"New York, NY",2025-06-30,3368.831637937649
"New York, NY",2025-07-31,3390.6886924828477
"New York, NY",2025-08-31,3404.112345449636
"Los Angeles, CA",2025-03-31,2972.31947868354
"Los Angeles, CA",2025-04-30,2975.2242436413626
"Los Angeles, CA",2025-05-31,2982.7736611415085
"Los Angeles, CA",2025-06-30,2992.0228312268846
"Los Angeles, CA",2025-07-31,3005.297961046515
"Los Angeles, CA",2025-08-31,3014.336830973658
"Chicago, IL",2025-03-31,2136.1916633736178
"Chicago, IL",2025-04-30,2153.791673175402
"Chicago, IL",2025-05-31,2171.3410332034305
"Chicago, IL",2025-06-30,2186.2054990157912
"Chicago, IL",2025-07-31,2197.4059499693976
"Chicago, IL",2025-08-31,2203.1439222593854
"Dallas, TX",2025-03-31,1766.6060889386742
"Dallas, TX",2025-04-30,1769.581868165697
"Dallas, TX",2025-05-31,1774.3492588121364
"Dallas, TX",2025-06-30,1779.812299826889
"Dallas, TX",2025-07-31,1784.9166828762652
"Dallas, TX",2025-08-31,1786.190474657368
"Houston, TX",2025-03-31,1680.5442512948778
"Houston, TX",2025-04-30,1686.5820083708784
"Houston, TX",2025-05-31,1693.0818144129714
"Houston, TX",2025-06-30,1699.6319367741664
"Houston, TX",2025-07-31,1705.3962732588273
"Houston, TX",2025-08-31,1707.5237471116925
"Washington, DC",2025-03-31,2393.356583820683
"Washington, DC",2025-04-30,2407.2395579717945
"Washington, DC",2025-05-31,2422.6723138050825
"Washington, DC",2025-06-30,2437.723691915768
"Washington, DC",2025-07-31,2452.5255405396742
"Washington, DC",2025-08-31,2461.9851298078343
"Philadelphia, PA",2025-03-31,1904.3727536149008
"Philadelphia, PA",2025-04-30,1915.3074816216172
"Philadelphia, PA",2025-05-31,1924.490870651706
"Philadelphia, PA",2025-06-30,1932.351120269019
"Philadelphia, PA",2025-07-31,1939.5664900839608
"Philadelphia, PA",2025-08-31,1943.8912767372688
"Miami, FL",2025-03-31,2721.651691675034
"Miami, FL",2025-04-30,2727.441663113349
"Miami, FL",2025-05-31,2732.0637304344577
"Miami, FL",2025-06-30,2736.748273720255
"Miami, FL",2025-07-31,2744.7121653177896
"Miami, FL",2025-08-31,2752.97104465488
"Atlanta, GA",2025-03-31,1886.1475179661293
"Atlanta, GA",2025-04-30,1888.3820392933685
"Atlanta, GA",2025-05-31,1893.4231348103965
"Atlanta, GA",2025-06-30,1900.009966040283
"Atlanta, GA",2025-07-31,1907.4314172791485
"Atlanta, GA",2025-08-31,1909.5465217783303
"Boston, MA",2025-03-31,3160.169078985403
"Boston, MA",2025-04-30,3181.867022266344
"Boston, MA",2025-05-31,3201.225934848871
"Boston, MA",2025-06-30,3218.964752492514
"Boston, MA",2025-07-31,3232.4674812080525
"Boston, MA",2025-08-31,3230.8656480175605
"Phoenix, AZ",2025-03-31,1840.9552437538705
"Phoenix, AZ",2025-04-30,1845.0655844445785
"Phoenix, AZ",2025-05-31,1848.4096264542868
"Phoenix, AZ",2025-06-30,1851.639826049614
"Phoenix, AZ",2025-07-31,1855.89693214208
"Phoenix, AZ",2025-08-31,1856.4768406136711
"San Francisco, CA",2025-03-31,3012.690829991632
"San Francisco, CA",2025-04-30,3023.3677011954355
