RegionName,Date,Predicted_Value
New York,2025-03-31,627184.2404829329
New York,2025-04-30,643053.0037004815
New York,2025-05-31,666687.9103610605
New York,2025-06-30,689977.7866020605
New York,2025-07-31,697189.8849428733
New York,2025-08-31,696144.44314322
Los Angeles,2025-03-31,964879.1541869356
Los Angeles,2025-04-30,989848.235422457
Los Angeles,2025-05-31,1004116.0177428556
Los Angeles,2025-06-30,1001464.376718392
Los Angeles,2025-07-31,989511.1731505772
Los Angeles,2025-08-31,979100.9536724637
Chicago,2025-03-31,318751.3696685835
Chicago,2025-04-30,336809.76645108697
Chicago,2025-05-31,347592.86059818394
Chicago,2025-06-30,359057.47999511
Chicago,2025-07-31,350176.6934222829
Chicago,2025-08-31,341971.90100445296
Dallas,2025-03-31,392098.9490224732
Dallas,2025-04-30,409876.6075405745
Dallas,2025-05-31,419320.8905036477
Dallas,2025-06-30,417923.5040603097
Dallas,2025-07-31,412538.61812067934
Dallas,2025-08-31,405816.8627616378
Houston,2025-03-31,332020.0546658665
Houston,2025-04-30,346193.3329561308
Houston,2025-05-31,353392.2173271832
Houston,2025-06-30,356393.66641851724
Houston,2025-07-31,353091.06087440177
Houston,2025-08-31,339059.6981821338
Washington,2025-03-31,558630.2384456488
Washington,2025-04-30,592693.9471729383
Washington,2025-05-31,603850.7748468886
Washington,2025-06-30,598327.1765805121
Washington,2025-07-31,582680.9644988327
Washington,2025-08-31,574093.457348897
Philadelphia,2025-03-31,336257.049737568
Philadelphia,2025-04-30,350491.07879249135
Philadelphia,2025-05-31,366951.0419038048
Philadelphia,2025-06-30,388729.0811706733
Philadelphia,2025-07-31,382039.3986752691
Philadelphia,2025-08-31,384971.3737644848
Miami,2025-03-31,493838.4311263917
Miami,2025-04-30,497979.3150664549
Miami,2025-05-31,508231.6925297593
Miami,2025-06-30,518840.32345160673
Miami,2025-07-31,501229.3375012013
Miami,2025-08-31,497489.7330089534
Atlanta,2025-03-31,373280.65180033376
Atlanta,2025-04-30,382331.3053915075
Atlanta,2025-05-31,394631.2604368115
Atlanta,2025-06-30,401389.6518450517
Atlanta,2025-07-31,393925.0809153973
Atlanta,2025-08-31,383425.142899295
Boston,2025-03-31,678397.2434928971
Boston,2025-04-30,699147.6394295886
Boston,2025-05-31,730008.0957188035
Boston,2025-06-30,769081.6179018832
Boston,2025-07-31,751935.0271739409
Boston,2025-08-31,733441.3010377759
Phoenix,2025-03-31,466925.92058381287
Phoenix,2025-04-30,477195.8086718801
Phoenix,2025-05-31,483851.6952204156
Phoenix,2025-06-30,486163.253078771
Phoenix,2025-07-31,477651.7483991416
Phoenix,2025-08-31,475782.9693142762
San Francisco,2025-03-31,1169358.8899477832
San Francisco,2025-04-30,1228108.3366792975
San Francisco,2025-05-31,1238919.2888700091
San Francisco,2025-06-30,1231663.2872079108
San Francisco,2025-07-31,1191733.734304788
San Francisco,2025-08-31,1114344.4622423365
Riverside,2025-03-31,580960.4023630101
Riverside,2025-04-30,595477.4515624032
Riverside,2025-05-31,595349.1634347698
Riverside,2025-06-30,594899.4161816039
Riverside,2025-07-31,595120.4186674049
Riverside,2025-08-31,590369.7128211642
Detroit,2025-03-31,232768.37455407015
Detroit,2025-04-30,249908.4042336449
Detroit,2025-05-31,264170.2628326171
Detroit,2025-06-30,274470.5137515731
Detroit,2025-07-31,271391.7501847304
Detroit,2025-08-31,266727.4058486249
Seattle,2025-03-31,724083.8260372912
Seattle,2025-04-30,759672.8178154391
Seattle,2025-05-31,775916.1078628455
Seattle,2025-06-30,762390.4459685072
Seattle,2025-07-31,750579.7734695033
Seattle,2025-08-31,741902.1089744254
Minneapolis,2025-03-31,361964.789502415
Minneapolis,2025-04-30,384424.1378760611
Minneapolis,2025-05-31,392269.4338107252
Minneapolis,2025-06-30,401855.015655102
Minneapolis,2025-07-31,400332.1068019753
Minneapolis,2025-08-31,401187.8633024292
San Diego,2025-03-31,905013.2714783158
San Diego,2025-04-30,927961.4587422226
San Diego,2025-05-31,935638.0156908293
San Diego,2025-06-30,942690.044400733
San Diego,2025-07-31,926673.796433162
San Diego,2025-08-31,910883.3399793216
Tampa,2025-03-31,358284.52125625464
Tampa,2025-04-30,361817.48580031015
Tampa,2025-05-31,369566.7682972145
Tampa,2025-06-30,373433.2230079855
Tampa,2025-07-31,366992.1233508733
Tampa,2025-08-31,360173.3486276138
Denver,2025-03-31,600827.6793264466
Denver,2025-04-30,619822.453925946
Denver,2025-05-31,621345.5474941859
Denver,2025-06-30,626538.4868580225
Denver,2025-07-31,618556.0631758977
Denver,2025-08-31,610411.7708091869
Baltimore,2025-03-31,355241.99150211096
Baltimore,2025-04-30,372114.9907682505
Baltimore,2025-05-31,393314.128556075
Baltimore,2025-06-30,397788.08546497487
Baltimore,2025-07-31,393425.6852163822
Baltimore,2025-08-31,391707.08905248746
St. Louis,2025-03-31,243485.6802485683
St. Louis,2025-04-30,254285.78692833125
St. Louis,2025-05-31,265258.61061904224
St. Louis,2025-06-30,286573.32109140715
St. Louis,2025-07-31,279526.7806146876
St. Louis,2025-08-31,273246.13102251163
Orlando,2025-03-31,395247.7583910665
Orlando,2025-04-30,399402.3210101968
Orlando,2025-05-31,402657.6173754754
Orlando,2025-06-30,409553.5754051835
Orlando,2025-07-31,402275.585050402
Orlando,2025-08-31,400285.92983514897
Charlotte,2025-03-31,385455.18370514514
Charlotte,2025-04-30,397843.153657298
Charlotte,2025-05-31,407130.9607168888
Charlotte,2025-06-30,421023.948060193
Charlotte,2025-07-31,412590.8384485684
Charlotte,2025-08-31,410661.8451912053
San Antonio,2025-03-31,313190.2548008725
San Antonio,2025-04-30,317898.1204358879
San Antonio,2025-05-31,323681.0078684235
San Antonio,2025-06-30,326829.7008735748
San Antonio,2025-07-31,331222.9178960496
San Antonio,2025-08-31,324138.8622020866
Portland,2025-03-31,512748.2501130711
Portland,2025-04-30,529545.373487345
Portland,2025-05-31,548739.4784709018
Portland,2025-06-30,558240.2230715125
Portland,2025-07-31,554288.1554437185
Portland,2025-08-31,550336.6594575415
Sacramento,2025-03-31,573469.274904876
Sacramento,2025-04-30,584073.0936555422
Sacramento,2025-05-31,599586.891587103
Sacramento,2025-06-30,600154.5716977635
Sacramento,2025-07-31,597782.1553071972
Sacramento,2025-08-31,588452.8862433985
Pittsburgh,2025-03-31,216002.78361859143
Pittsburgh,2025-04-30,223414.7680338424
Pittsburgh,2025-05-31,241250.6387200672
Pittsburgh,2025-06-30,250386.45034576167
Pittsburgh,2025-07-31,251348.7791489746
Pittsburgh,2025-08-31,247584.98721310636
Cincinnati,2025-03-31,262620.1643874685
Cincinnati,2025-04-30,274594.0709176972
Cincinnati,2025-05-31,292265.0539684162
Cincinnati,2025-06-30,292980.4821654926
Cincinnati,2025-07-31,292454.309290127
Cincinnati,2025-08-31,285177.1768607669
Austin,2025-03-31,471031.4183921627
Austin,2025-04-30,495854.5378099473
Austin,2025-05-31,506905.4505805446
Austin,2025-06-30,505193.1235955299
Austin,2025-07-31,488430.6782273768
Austin,2025-08-31,480852.097301847
Las Vegas,2025-03-31,433869.4702421591
Las Vegas,2025-04-30,443861.9182998136
Las Vegas,2025-05-31,450633.8899134737
Las Vegas,2025-06-30,451528.6489752031
Las Vegas,2025-07-31,449996.59276553744
Las Vegas,2025-08-31,442955.07361905655
Kansas City,2025-03-31,300450.36495837773
Kansas City,2025-04-30,322580.0536899676
Kansas City,2025-05-31,339460.6654000927
Kansas City,2025-06-30,349090.6365557944
Kansas City,2025-07-31,339230.7495573775
Kansas City,2025-08-31,335537.9485872729
Columbus,2025-03-31,238025.52798588903
Columbus,2025-04-30,252768.86413467847
Columbus,2025-05-31,262612.9250253797
Columbus,2025-06-30,267732.11849621346
Columbus,2025-07-31,265373.44711248355
Columbus,2025-08-31,253853.63041026288
Indianapolis,2025-03-31,279361.6716272564
Indianapolis,2025-04-30,289990.7404966825
Indianapolis,2025-05-31,302208.6650117093
Indianapolis,2025-06-30,309701.7821924837
Indianapolis,2025-07-31,303853.5406847322
Indianapolis,2025-08-31,302257.9675204944
Cleveland,2025-03-31,233494.52933336244
Cleveland,2025-04-30,244607.30261388555
Cleveland,2025-05-31,257561.45203099708
Cleveland,2025-06-30,266423.3142284655
Cleveland,2025-07-31,257625.36463604696
Cleveland,2025-08-31,252521.9868978804
San Jose,2025-03-31,1629078.4101423463
San Jose,2025-04-30,1701551.0591184443
San Jose,2025-05-31,1694176.2809374183
San Jose,2025-06-30,1676151.799789681
San Jose,2025-07-31,1617686.90950446
San Jose,2025-08-31,1611902.147171069
Nashville,2025-03-31,442400.92883026
Nashville,2025-04-30,456919.9711074054
Nashville,2025-05-31,471545.098310546
Nashville,2025-06-30,476663.7758314586
Nashville,2025-07-31,462481.0375904016
Nashville,2025-08-31,456292.9283401864
Virginia Beach,2025-03-31,331835.88815958274
Virginia Beach,2025-04-30,343158.0997790703
Virginia Beach,2025-05-31,355907.3614944793
Virginia Beach,2025-06-30,363121.4918989558
Virginia Beach,2025-07-31,356464.42032934143
Virginia Beach,2025-08-31,349086.45405862934
Providence,2025-03-31,449294.9662646561
Providence,2025-04-30,467881.2997276244
Providence,2025-05-31,478086.3183928388
Providence,2025-06-30,500917.9072009893
Providence,2025-07-31,495793.9475260687
Providence,2025-08-31,491763.9136247694
Jacksonville,2025-03-31,309108.7234217212
Jacksonville,2025-04-30,316418.08199490525
Jacksonville,2025-05-31,327278.0796726489
Jacksonville,2025-06-30,332840.2672276403
Jacksonville,2025-07-31,324322.4090770104
Jacksonville,2025-08-31,320328.99883344333
Milwaukee,2025-03-31,299821.6931489209
Milwaukee,2025-04-30,316863.5239293451
Milwaukee,2025-05-31,334679.527179072
Milwaukee,2025-06-30,345536.0363850935
Milwaukee,2025-07-31,351603.5356986701
Milwaukee,2025-08-31,333195.72090872505
Oklahoma City,2025-03-31,240431.66008000565
Oklahoma City,2025-04-30,247588.90536881288
Oklahoma City,2025-05-31,253888.8299215066
Oklahoma City,2025-06-30,260831.37430069732
